[32mModel Training completed successfully in time 12.6163330078125![0m

{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
{'mse': np.float64(1.9999999999999996), 'rmse': np.float64(1.414213562373095), 'r2': np.float64(-0.9999999999974021)}
