[32mModel Training completed successfully in time 12.490446090698242![0m

{'epoch': 0, 'mse': np.float64(1.2840476956157316), 'rmse': np.float64(1.1331582835666567), 'r2': np.float64(-0.28404769561406407)}
{'epoch': 1, 'mse': np.float64(1.2741581119507988), 'rmse': np.float64(1.1287861232097065), 'r2': np.float64(-0.2741581119491441)}
{'epoch': 2, 'mse': np.float64(1.2646098075864352), 'rmse': np.float64(1.124548712856155), 'r2': np.float64(-0.2646098075847929)}
{'epoch': 3, 'mse': np.float64(1.255397385183158), 'rmse': np.float64(1.1204451727698048), 'r2': np.float64(-0.25539738518152744)}
{'epoch': 4, 'mse': np.float64(1.246514646527046), 'rmse': np.float64(1.1164742032519364), 'r2': np.float64(-0.24651464652542732)}
{'epoch': 5, 'mse': np.float64(1.237954712378671), 'rmse': np.float64(1.1126341323088516), 'r2': np.float64(-0.23795471237706312)}
{'epoch': 6, 'mse': np.float64(1.2297101345620498), 'rmse': np.float64(1.1089229615090717), 'r2': np.float64(-0.22971013456045264)}
{'epoch': 7, 'mse': np.float64(1.2217729998588749), 'rmse': np.float64(1.1053384096551042), 'r2': np.float64(-0.22177299985728816)}
{'epoch': 8, 'mse': np.float64(1.2141350254880776), 'rmse': np.float64(1.1018779539894958), 'r2': np.float64(-0.21413502548650065)}
{'epoch': 9, 'mse': np.float64(1.2067876461325793), 'rmse': np.float64(1.0985388687400093), 'r2': np.float64(-0.20678764613101186)}
{'epoch': 10, 'mse': np.float64(1.1997220926252097), 'rmse': np.float64(1.095318260883662), 'r2': np.float64(-0.1997220926236516)}
{'epoch': 11, 'mse': np.float64(1.192929462526443), 'rmse': np.float64(1.0922131030739575), 'r2': np.float64(-0.19292946252489362)}
{'epoch': 12, 'mse': np.float64(1.1864007829204708), 'rmse': np.float64(1.0892202637301929), 'r2': np.float64(-0.1864007829189298)}
{'epoch': 13, 'mse': np.float64(1.1801270658261032), 'rmse': np.float64(1.086336534332756), 'r2': np.float64(-0.1801270658245706)}
{'epoch': 14, 'mse': np.float64(1.174099356668159), 'rmse': np.float64(1.0835586540045532), 'r2': np.float64(-0.17409935666663423)}
{'epoch': 15, 'mse': np.float64(1.1683087762862776), 'rmse': np.float64(1.0808833314869268), 'r2': np.float64(-0.16830877628476038)}
{'epoch': 16, 'mse': np.float64(1.1627465569744528), 'rmse': np.float64(1.0783072646395613), 'r2': np.float64(-0.1627465569729427)}
{'epoch': 17, 'mse': np.float64(1.157404073048588), 'rmse': np.float64(1.0758271576087806), 'r2': np.float64(-0.1574040730470847)}
{'epoch': 18, 'mse': np.float64(1.1522728664335362), 'rmse': np.float64(1.0734397358182415), 'r2': np.float64(-0.15227286643203963)}
{'epoch': 19, 'mse': np.float64(1.1473446677474985), 'rmse': np.float64(1.0711417589411303), 'r2': np.float64(-0.1473446677460084)}
{'epoch': 20, 'mse': np.float64(1.1426114133422303), 'rmse': np.float64(1.0689300320143644), 'r2': np.float64(-0.14261141334074634)}
{'epoch': 21, 'mse': np.float64(1.138065258733877), 'rmse': np.float64(1.0668014148537097), 'r2': np.float64(-0.13806525873239894)}
{'epoch': 22, 'mse': np.float64(1.1336985888327482), 'rmse': np.float64(1.0647528299247428), 'r2': np.float64(-0.13369858883127606)}
{'epoch': 23, 'mse': np.float64(1.1295040253521158), 'rmse': np.float64(1.062781268818808), 'r2': np.float64(-0.12950402535064898)}
{'epoch': 24, 'mse': np.float64(1.1254744317471075), 'rmse': np.float64(1.0608837974760041), 'r2': np.float64(-0.125474431745646)}
{'epoch': 25, 'mse': np.float64(1.1216029160056613), 'rmse': np.float64(1.0590575602891759), 'r2': np.float64(-0.12160291600420448)}
{'epoch': 26, 'mse': np.float64(1.1178828315849283), 'rmse': np.float64(1.0572997832142634), 'r2': np.float64(-0.11788283158347634)}
{'epoch': 27, 'mse': np.float64(1.114307776758854), 'rmse': np.float64(1.0556077760034046), 'r2': np.float64(-0.11430777675740678)}
{'epoch': 28, 'mse': np.float64(1.1108715926162818), 'rmse': np.float64(1.0539789336681649), 'r2': np.float64(-0.11087159261483914)}
{'epoch': 29, 'mse': np.float64(1.1075683599239938), 'rmse': np.float64(1.0524107372713345), 'r2': np.float64(-0.10756835992255542)}
{'epoch': 30, 'mse': np.float64(1.1043923950458021), 'rmse': np.float64(1.0509007541370412), 'r2': np.float64(-0.10439239504436792)}
{'epoch': 31, 'mse': np.float64(1.101338245087159), 'rmse': np.float64(1.049446637560557), 'r2': np.float64(-0.10133824508572853)}
{'epoch': 32, 'mse': np.float64(1.0984006824148576), 'rmse': np.float64(1.048046126091241), 'r2': np.float64(-0.09840068241343114)}
{'epoch': 33, 'mse': np.float64(1.0955746986831432), 'rmse': np.float64(1.0466970424545696), 'r2': np.float64(-0.0955746986817203)}
{'epoch': 34, 'mse': np.float64(1.092855498480982), 'rmse': np.float64(1.0453972921722066), 'r2': np.float64(-0.09285549847956265)}
{'epoch': 35, 'mse': np.float64(1.0902384927002196), 'rmse': np.float64(1.0441448619325862), 'r2': np.float64(-0.09023849269880357)}
{'epoch': 36, 'mse': np.float64(1.087719291710843), 'rmse': np.float64(1.0429378177584907), 'r2': np.float64(-0.08771929170943027)}
{'epoch': 37, 'mse': np.float64(1.0852936984174388), 'rmse': np.float64(1.041774303012624), 'r2': np.float64(-0.08529369841602952)}
{'epoch': 38, 'mse': np.float64(1.082957701260137), 'rmse': np.float64(1.0406525362771846), 'r2': np.float64(-0.08295770125873059)}
{'epoch': 39, 'mse': np.float64(1.080707467213704), 'rmse': np.float64(1.0395708091388984), 'r2': np.float64(-0.08070746721230049)}
{'epoch': 40, 'mse': np.float64(1.0785393348299424), 'rmse': np.float64(1.0385274839068739), 'r2': np.float64(-0.0785393348285417)}
{'epoch': 41, 'mse': np.float64(1.0764498073610596), 'rmse': np.float64(1.037520991286952), 'r2': np.float64(-0.07644980735966156)}
{'epoch': 42, 'mse': np.float64(1.0744355459950576), 'rmse': np.float64(1.036549828032911), 'r2': np.float64(-0.07443554599366209)}
{'epoch': 43, 'mse': np.float64(1.072493363228449), 'rmse': np.float64(1.0356125545919426), 'r2': np.float64(-0.07249336322705613)}
{'epoch': 44, 'mse': np.float64(1.0706202163965612), 'rmse': np.float64(1.0347077927591737), 'r2': np.float64(-0.0706202163951708)}
{'epoch': 45, 'mse': np.float64(1.068813201377341), 'rmse': np.float64(1.0338342233536966), 'r2': np.float64(-0.06881320137595304)}
{'epoch': 46, 'mse': np.float64(1.0670695464807844), 'rmse': np.float64(1.032990583926487), 'r2': np.float64(-0.06706954647939845)}
{'epoch': 47, 'mse': np.float64(1.065386606532895), 'rmse': np.float64(1.0321756665088047), 'r2': np.float64(-0.06538660653151118)}
{'epoch': 48, 'mse': np.float64(1.0637618571602747), 'rmse': np.float64(1.0313883154080594), 'r2': np.float64(-0.06376185715889315)}
{'epoch': 49, 'mse': np.float64(1.062192889279096), 'rmse': np.float64(1.0306274250567447), 'r2': np.float64(-0.06219288927771638)}
{'epoch': 50, 'mse': np.float64(1.0606774037902018), 'rmse': np.float64(1.0298919379188294), 'r2': np.float64(-0.06067740378882425)}
{'epoch': 51, 'mse': np.float64(1.0592132064803927), 'rmse': np.float64(1.0291808424569477), 'r2': np.float64(-0.059213206479016955)}
{'epoch': 52, 'mse': np.float64(1.0577982031285589), 'rmse': np.float64(1.0284931711628225), 'r2': np.float64(-0.05779820312718509)}
{'epoch': 53, 'mse': np.float64(1.0564303948141465), 'rmse': np.float64(1.0278279986525696), 'r2': np.float64(-0.056430394812774454)}
