[32mModel Training completed successfully in time 0.5206120014190674![0m

{'mse': np.float64(1.2927656407753294), 'rmse': np.float64(1.136998522767435), 'r2': np.float64(-0.2927656407736505)}
{'mse': np.float64(1.2904405651846491), 'rmse': np.float64(1.135975600611496), 'r2': np.float64(-0.2904405651829731)}
{'mse': np.float64(1.2879592816586352), 'rmse': np.float64(1.1348829374251053), 'r2': np.float64(-0.2879592816569625)}
{'mse': np.float64(1.2873564391211927), 'rmse': np.float64(1.1346173095459071), 'r2': np.float64(-0.2873564391195207)}
{'mse': np.float64(1.285861952289162), 'rmse': np.float64(1.1339585319971635), 'r2': np.float64(-0.2858619522874919)}
{'mse': np.float64(1.285568940958843), 'rmse': np.float64(1.1338293262033943), 'r2': np.float64(-0.28556894095717356)}
{'mse': np.float64(1.283940985683749), 'rmse': np.float64(1.1331111974046275), 'r2': np.float64(-0.28394098568208137)}
{'mse': np.float64(1.283042569184595), 'rmse': np.float64(1.1327146901071756), 'r2': np.float64(-0.2830425691829288)}
{'mse': np.float64(1.2823072247116316), 'rmse': np.float64(1.1323900497229882), 'r2': np.float64(-0.2823072247099663)}
{'mse': np.float64(1.281544805169915), 'rmse': np.float64(1.1320533579164522), 'r2': np.float64(-0.28154480516825053)}
{'mse': np.float64(1.279495407193782), 'rmse': np.float64(1.1311478272948157), 'r2': np.float64(-0.2794954071921205)}
{'mse': np.float64(1.2783889593627873), 'rmse': np.float64(1.130658639626827), 'r2': np.float64(-0.27838895936112706)}
{'mse': np.float64(1.2763535828288737), 'rmse': np.float64(1.1297581966194685), 'r2': np.float64(-0.2763535828272161)}
{'mse': np.float64(1.2756405614207356), 'rmse': np.float64(1.1294425888112842), 'r2': np.float64(-0.27564056141907867)}
{'mse': np.float64(1.2736175741412468), 'rmse': np.float64(1.1285466645829259), 'r2': np.float64(-0.27361757413959253)}
{'mse': np.float64(1.272506456885125), 'rmse': np.float64(1.1280542792282315), 'r2': np.float64(-0.2725064568834723)}
{'mse': np.float64(1.272892189337063), 'rmse': np.float64(1.1282252387431613), 'r2': np.float64(-0.27289218933540993)}
{'mse': np.float64(1.272192582085231), 'rmse': np.float64(1.1279151484421295), 'r2': np.float64(-0.27219258208357866)}
{'mse': np.float64(1.2723031007731103), 'rmse': np.float64(1.1279641398435991), 'r2': np.float64(-0.2723031007714578)}
{'mse': np.float64(1.2717603499629577), 'rmse': np.float64(1.1277235254985851), 'r2': np.float64(-0.27176034996130616)}
{'mse': np.float64(1.2709428160093148), 'rmse': np.float64(1.1273609963136542), 'r2': np.float64(-0.27094281600766434)}
{'mse': np.float64(1.270625513844558), 'rmse': np.float64(1.127220259685106), 'r2': np.float64(-0.2706255138429077)}
{'mse': np.float64(1.2699657618817561), 'rmse': np.float64(1.1269275761475341), 'r2': np.float64(-0.2699657618801068)}
{'mse': np.float64(1.2677955176678053), 'rmse': np.float64(1.1259642612746665), 'r2': np.float64(-0.2677955176661586)}
{'mse': np.float64(1.266991559336628), 'rmse': np.float64(1.125607195844371), 'r2': np.float64(-0.26699155933498253)}
{'mse': np.float64(1.2689785696955806), 'rmse': np.float64(1.126489489385312), 'r2': np.float64(-0.26897856969393263)}
{'mse': np.float64(1.2716437224125252), 'rmse': np.float64(1.1276718150297653), 'r2': np.float64(-0.27164372241087387)}
{'mse': np.float64(1.2727964864389962), 'rmse': np.float64(1.1281828249175734), 'r2': np.float64(-0.2727964864373431)}
